,
Season,Player
,
2017-18,James Harden
2016-17,Russell Westbrook
2015-16,Stephen Curry
2014-15,Stephen Curry
2013-14,Kevin Durant
2012-13,LeBron James
2011-12,LeBron James
2010-11,Derrick Rose
2009-10,LeBron James
2008-09,LeBron James
2007-08,Kobe Bryant
2006-07,Dirk Nowitzki
2005-06,Steve Nash
2004-05,Steve Nash
2003-04,Kevin Garnett
2002-03,Tim Duncan
2001-02,Tim Duncan
2000-01,Allen Iverson
1999-00,Shaquille O'Neal
1998-99,Karl Malone
1997-98,Michael Jordan
1996-97,Karl Malone
1995-96,Michael Jordan
1994-95,David Robinson
1993-94,Hakeem Olajuwon
1992-93,Charles Barkley
1991-92,Michael Jordan
1990-91,Michael Jordan
1989-90,Magic Johnson
1988-89,Magic Johnson
1987-88,Michael Jordan
1986-87,Magic Johnson
1985-86,Larry Bird
1984-85,Larry Bird
1983-84,Larry Bird
1982-83,Moses Malone
1981-82,Moses Malone
1980-81,Julius Erving
1979-80,Kareem Abdul-Jabbar
1978-79,Moses Malone
1977-78,Bill Walton
1976-77,Kareem Abdul-Jabbar
1975-76,Kareem Abdul-Jabbar
1974-75,Bob McAdoo
1973-74,Kareem Abdul-Jabbar
1972-73,Dave Cowens
1971-72,Kareem Abdul-Jabbar
1970-71,Kareem Abdul-Jabbar
1969-70,Willis Reed
1968-69,Wes Unseld
1967-68,Wilt Chamberlain
1966-67,Wilt Chamberlain
1965-66,Wilt Chamberlain
1964-65,Bill Russell
1963-64,Oscar Robertson
1962-63,Bill Russell
1961-62,Bill Russell
1960-61,Bill Russell
1959-60,Wilt Chamberlain
1958-59,Bob Pettit
1957-58,Bill Russell
1956-57,Bob Cousy
1955-56,Bob Pettit
